Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
hepatitis A,7,12,33,34,35,36,40,42,44,98,0,0,0,0,0,0,0
Hepatitis B,1,15,22,33,34,36,40,43,44,49,112,113,0,0,0,0,0
Hepatitis B,1,15,22,33,34,36,40,43,44,49,112,113,0,0,0,0,0
Hepatitis B,15,22,33,34,36,40,43,44,49,112,113,0,0,0,0,0,0
Hepatitis B,1,22,33,34,36,40,43,44,49,112,113,0,0,0,0,0,0
Hepatitis B,1,15,33,34,36,40,43,44,49,112,113,0,0,0,0,0,0
Hepatitis B,1,15,22,34,36,40,43,44,49,112,113,0,0,0,0,0,0
Hepatitis B,1,15,22,33,36,40,43,44,49,112,113,0,0,0,0,0,0
Hepatitis B,1,15,22,33,34,40,43,44,49,112,113,0,0,0,0,0,0
Hepatitis B,1,15,22,33,34,36,43,44,49,112,113,0,0,0,0,0,0
Hepatitis B,1,15,22,33,34,36,40,44,49,112,113,0,0,0,0,0,0
Hepatitis C,15,33,35,36,107,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis C,15,33,35,36,44,107,0,0,0,0,0,0,0,0,0,0,0
Hepatitis C,33,35,36,44,107,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis C,15,35,36,44,107,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis C,15,33,36,44,107,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis C,15,33,35,44,107,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis C,15,33,35,36,107,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis C,15,33,35,36,44,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis C,15,33,35,36,44,107,0,0,0,0,0,0,0,0,0,0,0
Hepatitis C,15,33,35,36,44,107,0,0,0,0,0,0,0,0,0,0,0
Hepatitis D,7,12,15,33,34,35,36,40,44,0,0,0,0,0,0,0,0
Hepatitis D,12,15,33,34,35,36,40,44,0,0,0,0,0,0,0,0,0
Hepatitis D,7,15,33,34,35,36,40,44,0,0,0,0,0,0,0,0,0
Hepatitis D,7,12,33,34,35,36,40,44,0,0,0,0,0,0,0,0,0
Hepatitis D,7,12,15,34,35,36,40,44,0,0,0,0,0,0,0,0,0
Hepatitis D,7,12,15,33,35,36,40,44,0,0,0,0,0,0,0,0,0
Hepatitis D,7,12,15,33,34,36,40,44,0,0,0,0,0,0,0,0,0
Hepatitis D,7,12,15,33,34,35,40,44,0,0,0,0,0,0,0,0,0
Hepatitis D,7,12,15,33,34,35,36,44,0,0,0,0,0,0,0,0,0
Hepatitis D,7,12,15,33,34,35,36,40,0,0,0,0,0,0,0,0,0
Hepatitis E,7,12,15,26,33,34,35,36,40,44,114,115,0,0,0,0,0
Hepatitis E,7,12,15,26,33,34,35,36,40,44,45,114,115,0,0,0,0
Hepatitis E,7,12,15,26,33,34,35,36,40,44,45,114,115,0,0,0,0
Hepatitis E,12,15,26,33,34,35,36,40,44,45,114,115,0,0,0,0,0
Hepatitis E,7,15,26,33,34,35,36,40,44,45,114,115,0,0,0,0,0
Hepatitis E,7,12,26,33,34,35,36,40,44,45,114,115,0,0,0,0,0
Hepatitis E,7,12,15,33,34,35,36,40,44,45,114,115,0,0,0,0,0
Hepatitis E,7,12,15,26,34,35,36,40,44,45,114,115,0,0,0,0,0
Hepatitis E,7,12,15,26,33,35,36,40,44,45,114,115,0,0,0,0,0
Hepatitis E,7,12,15,26,33,34,36,40,44,45,114,115,0,0,0,0,0
Alcoholic hepatitis,12,33,40,47,116,117,118,0,0,0,0,0,0,0,0,0,0
Alcoholic hepatitis,12,33,40,47,116,117,118,0,0,0,0,0,0,0,0,0,0
Alcoholic hepatitis,33,40,47,116,117,118,0,0,0,0,0,0,0,0,0,0,0
Alcoholic hepatitis,12,40,47,116,117,118,0,0,0,0,0,0,0,0,0,0,0
Alcoholic hepatitis,12,33,47,116,117,118,0,0,0,0,0,0,0,0,0,0,0
Alcoholic hepatitis,12,33,40,116,117,118,0,0,0,0,0,0,0,0,0,0,0
Alcoholic hepatitis,12,33,40,47,117,118,0,0,0,0,0,0,0,0,0,0,0
Alcoholic hepatitis,12,33,40,47,116,118,0,0,0,0,0,0,0,0,0,0,0
Alcoholic hepatitis,12,33,40,47,116,117,0,0,0,0,0,0,0,0,0,0,0
Alcoholic hepatitis,12,33,40,47,116,117,118,0,0,0,0,0,0,0,0,0,0
Tuberculosis,6,12,15,20,25,26,28,29,36,42,44,48,49,51,57,119,0
Tuberculosis,6,12,15,20,25,26,28,29,36,42,44,48,49,51,57,119,0
Tuberculosis,12,15,20,25,26,28,29,36,42,44,48,49,51,57,119,0,0
Tuberculosis,6,15,20,25,26,28,29,36,42,44,48,49,51,57,119,0,0
Tuberculosis,6,12,20,25,26,28,29,36,42,44,48,49,51,57,119,0,0
Tuberculosis,6,12,15,25,26,28,29,36,42,44,48,49,51,57,119,0,0
Tuberculosis,6,12,15,20,26,28,29,36,42,44,48,49,51,57,119,0,0
Tuberculosis,6,12,15,20,25,28,29,36,42,44,48,49,51,57,119,0,0
Tuberculosis,6,12,15,20,25,26,29,36,42,44,48,49,51,57,119,0,0
Tuberculosis,6,12,15,20,25,26,28,36,42,44,48,49,51,57,119,0,0
Common Cold,4,6,15,25,26,32,48,49,51,52,53,54,55,56,57,89,98
Common Cold,4,6,15,25,26,32,48,49,51,52,53,54,55,56,57,89,98
Common Cold,6,15,25,26,32,48,49,51,52,53,54,55,56,57,89,98,0
Common Cold,4,15,25,26,32,48,49,51,52,53,54,55,56,57,89,98,0
Common Cold,4,6,25,26,32,48,49,51,52,53,54,55,56,57,89,98,0
Common Cold,4,6,15,26,32,48,49,51,52,53,54,55,56,57,89,98,0
Common Cold,4,6,15,25,32,48,49,51,52,53,54,55,56,57,89,98,0
Common Cold,4,6,15,25,26,48,49,51,52,53,54,55,56,57,89,98,0
Common Cold,4,6,15,25,26,32,49,51,52,53,54,55,56,57,89,98,0
Common Cold,4,6,15,25,26,32,48,51,52,53,54,55,56,57,89,98,0
Pneumonia,6,15,25,26,28,29,49,57,59,109,0,0,0,0,0,0,0
Pneumonia,6,15,25,26,28,29,49,51,57,59,109,0,0,0,0,0,0
Pneumonia,6,15,25,26,28,29,49,51,57,59,109,0,0,0,0,0,0
Pneumonia,15,25,26,28,29,49,51,57,59,109,0,0,0,0,0,0,0
Pneumonia,6,25,26,28,29,49,51,57,59,109,0,0,0,0,0,0,0
Pneumonia,6,15,26,28,29,49,51,57,59,109,0,0,0,0,0,0,0
Pneumonia,6,15,25,28,29,49,51,57,59,109,0,0,0,0,0,0,0
Pneumonia,6,15,25,26,29,49,51,57,59,109,0,0,0,0,0,0,0
Pneumonia,6,15,25,26,28,49,51,57,59,109,0,0,0,0,0,0,0
Pneumonia,6,15,25,26,28,29,51,57,59,109,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,60,61,62,63,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,60,61,62,63,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,60,61,62,63,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),60,61,62,63,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,61,62,63,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,60,62,63,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,60,61,63,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,60,61,62,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,60,61,62,63,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,60,61,62,63,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,12,28,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,12,28,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,28,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,12,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,12,28,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,12,28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,12,28,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,28,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,12,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,12,28,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,66,67,68,69,70,120,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,66,67,68,69,70,120,0,0,0,0,0,0,0,0,0,0
Varicose veins,66,67,68,69,70,120,0,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,67,68,69,70,120,0,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,66,68,69,70,120,0,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,66,67,69,70,120,0,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,66,67,68,70,120,0,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,66,67,68,69,120,0,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,66,67,68,69,70,0,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,66,67,68,69,120,0,0,0,0,0,0,0,0,0,0,0
Hypothyroidism,15,16,18,19,22,65,71,72,73,74,96,97,102,0,0,0,0
Hypothyroidism,15,16,18,19,22,65,71,72,73,74,96,97,102,0,0,0,0
Hypothyroidism,16,18,19,22,65,71,72,73,74,96,97,102,0,0,0,0,0
Hypothyroidism,16,18,19,22,65,71,72,73,74,96,97,102,0,0,0,0,0
Hypothyroidism,15,18,19,22,65,71,72,73,74,96,97,102,0,0,0,0,0
Hypothyroidism,15,16,19,22,65,71,72,73,74,96,97,102,0,0,0,0,0
Hypothyroidism,15,16,18,22,65,71,72,73,74,96,97,102,0,0,0,0,0
Hypothyroidism,15,16,18,19,65,71,72,73,74,96,97,102,0,0,0,0,0
Hypothyroidism,15,16,18,19,22,71,72,73,74,96,97,102,0,0,0,0,0
Hypothyroidism,15,16,18,19,22,65,72,73,74,96,97,102,0,0,0,0,0
Hyperthyroidism,15,19,20,21,29,41,59,75,81,97,102,0,0,0,0,0,0
Hyperthyroidism,15,19,20,21,29,41,59,75,81,97,102,0,0,0,0,0,0
Hyperthyroidism,19,20,21,29,41,59,75,81,97,102,0,0,0,0,0,0,0
Hyperthyroidism,15,20,21,29,41,59,75,81,97,102,0,0,0,0,0,0,0
Hyperthyroidism,15,19,21,29,41,59,75,81,97,102,0,0,0,0,0,0,0
Hyperthyroidism,15,19,20,29,41,59,75,81,97,102,0,0,0,0,0,0,0
Hyperthyroidism,15,19,20,21,41,59,75,81,97,102,0,0,0,0,0,0,0
Hyperthyroidism,15,19,20,21,29,59,75,81,97,102,0,0,0,0,0,0,0
Hyperthyroidism,15,19,20,21,29,41,75,81,97,102,0,0,0,0,0,0,0
Hyperthyroidism,15,19,20,21,29,41,59,81,97,102,0,0,0,0,0,0,0
Hypoglycemia,12,15,17,29,32,35,50,75,78,97,121,0,0,0,0,0,0
Hypoglycemia,12,15,17,29,32,35,50,75,77,78,97,121,0,0,0,0,0
Hypoglycemia,12,15,17,29,32,35,50,75,77,78,97,121,0,0,0,0,0
Hypoglycemia,15,17,29,32,35,50,75,77,78,97,121,0,0,0,0,0,0
Hypoglycemia,12,17,29,32,35,50,75,77,78,97,121,0,0,0,0,0,0
Hypoglycemia,12,15,29,32,35,50,75,77,78,97,121,0,0,0,0,0,0
Hypoglycemia,12,15,17,32,35,50,75,77,78,97,121,0,0,0,0,0,0
Hypoglycemia,12,15,17,29,35,50,75,77,78,97,121,0,0,0,0,0,0
Hypoglycemia,12,15,17,29,32,50,75,77,78,97,121,0,0,0,0,0,0
Hypoglycemia,12,15,17,29,32,35,75,77,78,97,121,0,0,0,0,0,0
Osteoarthristis,7,64,79,80,83,122,0,0,0,0,0,0,0,0,0,0,0
Osteoarthristis,7,64,79,80,83,122,0,0,0,0,0,0,0,0,0,0,0
Osteoarthristis,64,79,80,83,122,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthristis,7,79,80,83,122,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthristis,7,64,80,83,122,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthristis,7,64,79,83,122,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthristis,7,64,79,80,122,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthristis,7,64,79,80,83,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthristis,7,64,79,80,83,122,0,0,0,0,0,0,0,0,0,0,0
Osteoarthristis,7,64,79,80,83,122,0,0,0,0,0,0,0,0,0,0,0
Arthritis,81,82,83,84,122,0,0,0,0,0,0,0,0,0,0,0,0
Arthritis,81,82,83,84,122,0,0,0,0,0,0,0,0,0,0,0,0
Arthritis,82,83,84,122,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthritis,81,83,84,122,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthritis,81,82,84,122,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthritis,81,82,83,122,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthritis,81,82,83,84,122,0,0,0,0,0,0,0,0,0,0,0,0
Arthritis,81,82,83,84,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthritis,81,82,83,84,122,0,0,0,0,0,0,0,0,0,0,0,0
Arthritis,81,82,83,84,122,0,0,0,0,0,0,0,0,0,0,0,0
(vertigo) Paroymsal  Positional Vertigo,12,32,35,85,86,87,0,0,0,0,0,0,0,0,0,0,0
(vertigo) Paroymsal  Positional Vertigo,12,32,35,85,86,87,0,0,0,0,0,0,0,0,0,0,0
(vertigo) Paroymsal  Positional Vertigo,32,35,85,86,87,0,0,0,0,0,0,0,0,0,0,0,0
(vertigo) Paroymsal  Positional Vertigo,12,35,85,86,87,0,0,0,0,0,0,0,0,0,0,0,0
(vertigo) Paroymsal  Positional Vertigo,12,32,85,86,87,0,0,0,0,0,0,0,0,0,0,0,0
(vertigo) Paroymsal  Positional Vertigo,12,32,35,86,87,0,0,0,0,0,0,0,0,0,0,0,0
(vertigo) Paroymsal  Positional Vertigo,12,32,35,85,87,0,0,0,0,0,0,0,0,0,0,0,0
(vertigo) Paroymsal  Positional Vertigo,12,32,35,85,86,0,0,0,0,0,0,0,0,0,0,0,0
(vertigo) Paroymsal  Positional Vertigo,12,32,35,85,86,87,0,0,0,0,0,0,0,0,0,0,0
(vertigo) Paroymsal  Positional Vertigo,12,32,35,86,87,0,0,0,0,0,0,0,0,0,0,0,0
Acne,2,123,124,125,0,0,0,0,0,0,0,0,0,0,0,0,0
Acne,2,123,124,125,0,0,0,0,0,0,0,0,0,0,0,0,0
Acne,123,124,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acne,2,124,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acne,2,123,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acne,2,123,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acne,2,123,124,125,0,0,0,0,0,0,0,0,0,0,0,0,0
Acne,2,123,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acne,2,123,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acne,2,124,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary tract infection,13,90,91,92,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary tract infection,13,90,91,92,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary tract infection,90,91,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary tract infection,13,91,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary tract infection,13,90,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary tract infection,13,90,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary tract infection,13,90,91,92,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary tract infection,13,90,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary tract infection,90,91,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary tract infection,13,90,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis,2,7,126,127,128,129,0,0,0,0,0,0,0,0,0,0,0
Psoriasis,2,7,126,127,128,129,0,0,0,0,0,0,0,0,0,0,0
Psoriasis,7,126,127,128,129,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis,2,126,127,128,129,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis,2,7,127,128,129,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis,2,7,126,128,129,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis,2,7,126,127,129,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis,2,7,126,127,128,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis,2,7,126,127,128,129,0,0,0,0,0,0,0,0,0,0,0
Psoriasis,2,7,126,127,128,129,0,0,0,0,0,0,0,0,0,0,0
Impetigo,2,26,130,131,132,0,0,0,0,0,0,0,0,0,0,0,0
Impetigo,2,26,130,131,132,0,0,0,0,0,0,0,0,0,0,0,0
Impetigo,26,130,131,132,0,0,0,0,0,0,0,0,0,0,0,0,0
Impetigo,2,130,131,132,0,0,0,0,0,0,0,0,0,0,0,0,0
Impetigo,2,130,131,132,0,0,0,0,0,0,0,0,0,0,0,0,0
Impetigo,2,26,131,132,0,0,0,0,0,0,0,0,0,0,0,0,0
Impetigo,2,26,130,132,0,0,0,0,0,0,0,0,0,0,0,0,0
Impetigo,2,26,130,131,0,0,0,0,0,0,0,0,0,0,0,0,0
Impetigo,2,26,130,131,132,0,0,0,0,0,0,0,0,0,0,0,0
Impetigo,2,130,131,132,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungal infection,1,2,3,103,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungal infection,2,3,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungal infection,1,3,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungal infection,1,2,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungal infection,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungal infection,2,3,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungal infection,1,3,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungal infection,1,2,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungal infection,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungal infection,1,2,3,103,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergy,4,5,6,104,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergy,5,6,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergy,4,6,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergy,4,5,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergy,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergy,5,6,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergy,4,6,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergy,4,5,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergy,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergy,4,5,6,104,0,0,0,0,0,0,0,0,0,0,0,0,0
GERD,8,9,10,12,25,57,0,0,0,0,0,0,0,0,0,0,0
GERD,8,10,12,25,57,0,0,0,0,0,0,0,0,0,0,0,0
GERD,8,9,12,25,57,0,0,0,0,0,0,0,0,0,0,0,0
GERD,8,9,10,25,57,0,0,0,0,0,0,0,0,0,0,0,0
GERD,8,9,10,12,57,0,0,0,0,0,0,0,0,0,0,0,0
GERD,8,9,10,12,25,0,0,0,0,0,0,0,0,0,0,0,0
GERD,9,10,12,25,57,0,0,0,0,0,0,0,0,0,0,0,0
GERD,8,10,12,25,57,0,0,0,0,0,0,0,0,0,0,0,0
GERD,8,9,12,25,57,0,0,0,0,0,0,0,0,0,0,0,0
GERD,8,9,10,25,57,0,0,0,0,0,0,0,0,0,0,0,0
Chronic cholestasis,1,12,33,35,36,40,44,0,0,0,0,0,0,0,0,0,0
Chronic cholestasis,12,33,35,36,40,44,0,0,0,0,0,0,0,0,0,0,0
Chronic cholestasis,1,33,35,36,40,44,0,0,0,0,0,0,0,0,0,0,0
Chronic cholestasis,1,12,35,36,40,44,0,0,0,0,0,0,0,0,0,0,0
Chronic cholestasis,1,12,33,36,40,44,0,0,0,0,0,0,0,0,0,0,0
Chronic cholestasis,1,12,33,35,40,44,0,0,0,0,0,0,0,0,0,0,0
Chronic cholestasis,1,12,33,35,36,44,0,0,0,0,0,0,0,0,0,0,0
Chronic cholestasis,1,12,33,35,36,40,0,0,0,0,0,0,0,0,0,0,0
Chronic cholestasis,1,12,33,35,36,40,44,0,0,0,0,0,0,0,0,0,0
Chronic cholestasis,1,12,33,35,36,40,44,0,0,0,0,0,0,0,0,0,0
Drug Reaction,1,2,8,13,14,0,0,0,0,0,0,0,0,0,0,0,0
Drug Reaction,1,8,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug Reaction,1,2,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug Reaction,1,2,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug Reaction,1,2,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug Reaction,2,8,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug Reaction,1,8,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug Reaction,1,2,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug Reaction,1,2,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug Reaction,1,2,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptic ulcer diseae,12,36,40,93,94,0,0,0,0,0,0,0,0,0,0,0,0
Peptic ulcer diseae,12,31,40,93,94,0,0,0,0,0,0,0,0,0,0,0,0
Peptic ulcer diseae,31,36,40,93,94,0,0,0,0,0,0,0,0,0,0,0,0
Peptic ulcer diseae,12,36,40,93,94,0,0,0,0,0,0,0,0,0,0,0,0
Peptic ulcer diseae,12,31,40,93,94,0,0,0,0,0,0,0,0,0,0,0,0
Peptic ulcer diseae,12,31,36,93,94,0,0,0,0,0,0,0,0,0,0,0,0
Peptic ulcer diseae,12,31,36,40,94,0,0,0,0,0,0,0,0,0,0,0,0
Peptic ulcer diseae,12,31,36,40,93,0,0,0,0,0,0,0,0,0,0,0,0
Peptic ulcer diseae,12,31,36,40,93,94,0,0,0,0,0,0,0,0,0,0,0
Peptic ulcer diseae,12,31,36,40,93,94,0,0,0,0,0,0,0,0,0,0,0
AIDS,11,23,26,76,0,0,0,0,0,0,0,0,0,0,0,0,0
AIDS,23,26,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIDS,11,26,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIDS,11,23,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIDS,11,23,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIDS,11,23,26,76,0,0,0,0,0,0,0,0,0,0,0,0,0
AIDS,11,23,26,76,0,0,0,0,0,0,0,0,0,0,0,0,0
AIDS,23,26,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIDS,11,26,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIDS,11,23,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes ,15,20,21,22,24,50,68,75,105,106,0,0,0,0,0,0,0
Diabetes ,15,20,21,22,24,50,68,75,105,106,0,0,0,0,0,0,0
Diabetes ,20,21,22,24,50,68,75,105,106,0,0,0,0,0,0,0,0
Diabetes ,15,21,22,24,50,68,75,105,106,0,0,0,0,0,0,0,0
Diabetes ,15,20,22,24,50,68,75,105,106,0,0,0,0,0,0,0,0
Diabetes ,15,20,21,24,50,68,75,105,106,0,0,0,0,0,0,0,0
Diabetes ,15,20,21,22,50,68,75,105,106,0,0,0,0,0,0,0,0
Diabetes ,15,20,21,22,24,68,75,105,106,0,0,0,0,0,0,0,0
Diabetes ,15,20,21,22,24,50,75,105,106,0,0,0,0,0,0,0,0
Diabetes ,15,20,21,22,24,50,68,105,106,0,0,0,0,0,0,0,0
Gastroenteritis,12,27,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,12,27,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,27,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,12,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,12,27,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,12,27,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,12,27,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,27,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,12,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,12,27,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronchial Asthma,15,25,26,28,107,108,0,0,0,0,0,0,0,0,0,0,0
Bronchial Asthma,25,26,28,107,108,0,0,0,0,0,0,0,0,0,0,0,0
Bronchial Asthma,15,26,28,107,108,0,0,0,0,0,0,0,0,0,0,0,0
Bronchial Asthma,15,25,28,107,108,0,0,0,0,0,0,0,0,0,0,0,0
Bronchial Asthma,15,25,26,107,108,0,0,0,0,0,0,0,0,0,0,0,0
Bronchial Asthma,15,25,26,28,108,0,0,0,0,0,0,0,0,0,0,0,0
Bronchial Asthma,15,25,26,28,107,0,0,0,0,0,0,0,0,0,0,0,0
Bronchial Asthma,15,25,26,28,107,108,0,0,0,0,0,0,0,0,0,0,0
Bronchial Asthma,25,26,28,107,108,0,0,0,0,0,0,0,0,0,0,0,0
Bronchial Asthma,15,26,28,107,108,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension ,32,57,65,86,110,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension ,57,65,86,110,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension ,32,65,86,110,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension ,32,57,86,110,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension ,32,57,65,110,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension ,32,57,65,86,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension ,32,57,65,86,110,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension ,57,65,86,110,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension ,32,65,86,110,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension ,32,57,86,110,0,0,0,0,0,0,0,0,0,0,0,0,0
Migraine,9,31,32,50,75,82,96,97,111,0,0,0,0,0,0,0,0
Migraine,31,32,50,75,82,96,97,111,0,0,0,0,0,0,0,0,0
Migraine,9,32,50,75,82,96,97,111,0,0,0,0,0,0,0,0,0
Migraine,9,31,50,75,82,96,97,111,0,0,0,0,0,0,0,0,0
Migraine,9,31,32,75,82,96,97,111,0,0,0,0,0,0,0,0,0
Migraine,9,31,32,50,82,96,97,111,0,0,0,0,0,0,0,0,0
